epoch,median_cm,p90_cm,time_sec
1,121.6552506059644,369.634533487515,253.23577880859375
2,85.44003745317532,250.0,255.84491634368896
3,60.8276253029822,180.0,256.1127886772156
4,63.2455532033676,180.27756377319946,256.1158263683319
5,50.99019513592785,152.64337522473747,255.75237703323364
6,50.0,162.7882059609971,255.85841393470764
7,44.721359549995796,150.0,255.69902420043945
8,47.3606797749979,152.97058540778355,255.66556978225708
9,44.721359549995796,152.31546211727817,256.07195830345154
10,41.231056256176615,143.17821063276355,255.8265721797943
