epoch,median_cm,p90_cm,time_sec
1,82.46211251235323,190.0,275.04887533187866
2,70.71067811865476,164.92422502470646,280.7248876094818
3,50.99019513592785,127.27922061357854,280.6700801849365
4,50.0,130.0,280.405877828598
5,41.231056256176615,120.41594578792296,280.33517837524414
6,31.6227766016838,102.95630140987,280.6585216522217
7,31.6227766016838,107.70329614269009,280.5705051422119
8,31.6227766016838,104.40306508910551,280.52148246765137
9,30.000000000000004,92.19544457292888,280.74234795570374
10,28.284271247461906,92.19544457292888,280.24511671066284
