epoch,median_cm,p90_cm,time_sec
1,56.56854249492381,120.91293882294751,202.45306611061096
2,31.6227766016838,80.6225774829855,205.52358722686768
3,28.284271247461906,80.6225774829855,206.42862391471863
4,22.360679774997898,60.8276253029822,205.56765174865723
5,22.360679774997898,64.03124237432849,205.9315891265869
6,22.360679774997898,70.71067811865476,205.977144241333
7,20.0,58.30951894845301,206.201486825943
8,20.0,58.478567053607556,206.1041338443756
9,20.0,60.00000000000001,205.72979760169983
10,14.142135623730953,50.99019513592785,205.9727966785431
