epoch,median_cm,p90_cm,lr,time_sec
1,63.2455532033676,158.11388300841898,5e-05,245.50011110305786
2,63.2455532033676,172.62676501632072,5e-05,251.30055332183838
3,50.0,136.01470508735443,5e-05,251.25422406196594
4,44.721359549995796,131.52946437965906,5e-05,250.43462371826172
5,42.42640687119285,162.7882059609971,2.5e-05,250.62018489837646
6,31.6227766016838,103.96903598533524,2.5e-05,250.60669875144958
7,30.000000000000004,110.00000000000001,2.5e-05,250.6306278705597
8,30.000000000000004,106.3014581273465,2.5e-05,250.49359011650085
9,28.284271247461906,109.44996147917641,2.5e-05,250.37308359146118
10,22.360679774997898,106.3014581273465,1.25e-05,250.31589484214783
